k1,k2,availability_mean,availability_std,data_loss_rate_mean,data_loss_rate_std,total_loss_events_mean,p_loss_analytical
1,0,0.9999746249369343,4.095268079833408e-05,0.01325,0.013855768590458027,1.06,0.001
1,1,1.0,0.0,0.0,0.0,0.0,1.0000000000000001e-07
1,2,1.0,0.0,0.0,0.0,0.0,1.0000000000000001e-11
2,0,0.999996046041395,1.7326561816746547e-05,0.0016250000000000001,0.005799414373081741,0.13,0.001
2,1,1.0,0.0,0.0,0.0,0.0,1.0000000000000001e-07
2,2,1.0,0.0,0.0,0.0,0.0,1.0000000000000001e-11
3,0,0.9999963641865804,1.7096912565353904e-05,0.00075,0.002983540707199275,0.06,0.001
3,1,1.0,0.0,0.0,0.0,0.0,1.0000000000000001e-07
3,2,1.0,0.0,0.0,0.0,0.0,1.0000000000000001e-11
4,0,0.9999953403480244,1.685305720229748e-05,0.0016250000000000001,0.005226860985101456,0.13,0.001
4,1,1.0,0.0,0.0,0.0,0.0,1.0000000000000001e-07
4,2,1.0,0.0,0.0,0.0,0.0,1.0000000000000001e-11
